Date,Unit,Minimum,Maximum,Average,Market
16/06/19,Kg,26,32,29,Tomato
17/06/19,Kg,20,25,22.5,Tomato
18/06/19,Kg,22,26,24,Tomato
19/06/19,Kg,24,28,26,Tomato
20/06/19,Kg,22,26,24,Tomato
21/06/19,Kg,15,20,17.5,Tomato
25/06/19,Kg,25,30,27.5,Tomato
26/06/19,Kg,20,25,22.5,Tomato
27/06/19,Kg,18,24,21,Tomato
28/06/19,Kg,24,28,26,Tomato
30/06/19,Kg,18,22,20,Tomato
01/07/19,Kg,15,20,17.5,Tomato
02/07/19,Kg,15,20,17.5,Tomato
03/07/19,Kg,14,18,16,Tomato
04/07/19,Kg,14,18,16,Tomato
05/07/19,Kg,18,24,21,Tomato
09/07/19,Kg,20,25,22.5,Tomato
10/07/19,Kg,30,35,32.5,Tomato
11/07/19,Kg,32,38,35,Tomato
12/07/19,Kg,44,48,46,Tomato
14/07/19,Kg,50,55,52.5,Tomato
15/07/19,Kg,50,55,52.5,Tomato
16/07/19,Kg,48,52,50,Tomato
17/07/19,Kg,46,52,49,Tomato
18/07/19,Kg,40,45,42.5,Tomato
19/07/19,Kg,36,40,38,Tomato
21/07/19,Kg,28,32,30,Tomato
22/07/19,Kg,28,32,30,Tomato
23/07/19,Kg,30,35,32.5,Tomato
24/07/19,Kg,32,36,34,Tomato
25/07/19,Kg,40,45,42.5,Tomato
26/07/19,Kg,40,45,42.5,Tomato
28/07/19,Kg,40,45,42.5,Tomato
29/07/19,Kg,42,46,44,Tomato
30/07/19,Kg,38,42,40,Tomato
31/07/19,Kg,35,40,37.5,Tomato
01/08/19,Kg,34,38,36,Tomato
02/08/19,Kg,25,35,30,Tomato
04/08/19,Kg,25,30,27.5,Tomato
05/08/19,Kg,25,30,27.5,Tomato
06/08/19,Kg,28,34,31,Tomato
07/08/19,Kg,25,30,27.5,Tomato
08/08/19,Kg,20,25,22.5,Tomato
12/08/19,Kg,24,28,26,Tomato
13/08/19,Kg,25,30,27.5,Tomato
14/08/19,Kg,25,30,27.5,Tomato
15/08/19,Kg,25,32,28.5,Tomato
16/08/19,Kg,35,40,37.5,Tomato
18/08/19,Kg,30,35,32.5,Tomato
19/08/19,Kg,35,40,37.5,Tomato
20/08/19,Kg,38,42,40,Tomato
23/08/19,Kg,40,44,42,Tomato
25/08/19,Kg,30,35,32.5,Tomato
26/08/19,Kg,28,32,30,Tomato
27/08/19,Kg,28,32,30,Tomato
29/08/19,Kg,34,38,36,Tomato
30/08/19,Kg,30,35,32.5,Tomato
01/09/19,Kg,30,35,32.5,Tomato
02/09/19,Kg,35,40,37.5,Tomato
03/09/19,Kg,40,45,42.5,Tomato
04/09/19,Kg,40,45,42.5,Tomato
05/09/19,Kg,45,50,47.5,Tomato
06/09/19,Kg,50,55,52.5,Tomato
08/09/19,Kg,50,56,53,Tomato
09/09/19,Kg,55,60,57.5,Tomato
10/09/19,Kg,44,50,47,Tomato
11/09/19,Kg,38,42,40,Tomato
12/09/19,Kg,36,42,39,Tomato
13/09/19,Kg,35,40,37.5,Tomato
15/09/19,Kg,35,40,37.5,Tomato
16/09/19,Kg,32,38,35,Tomato
17/09/19,Kg,35,40,37.5,Tomato
19/09/19,Kg,35,40,37.5,Tomato
20/09/19,Kg,35,40,37.5,Tomato
22/09/19,Kg,30,35,32.5,Tomato
23/09/19,Kg,30,35,32.5,Tomato
24/09/19,Kg,30,35,32.5,Tomato
25/09/19,Kg,30,31,30.5,Tomato
26/09/19,Kg,30,35,32.5,Tomato
27/09/19,Kg,35,40,37.5,Tomato
29/09/19,Kg,35,40,37.5,Tomato
30/09/19,Kg,38,42,40,Tomato
01/10/19,Kg,38,42,40,Tomato
02/10/19,Kg,40,45,42.5,Tomato
03/10/19,Kg,40,45,42.5,Tomato
04/10/19,Kg,40,45,42.5,Tomato
06/10/19,Kg,65,75,70,Tomato
07/10/19,Kg,60,70,65,Tomato
08/10/19,Kg,55,60,57.5,Tomato
09/10/19,Kg,75,80,77.5,Tomato
10/10/19,Kg,75,80,77.5,Tomato
11/10/19,Kg,75,80,77.5,Tomato
12/10/19,Kg,60,70,65,Tomato
13/10/19,Kg,65,75,70,Tomato
14/10/19,Kg,65,75,70,Tomato
15/10/19,Kg,65,70,67.5,Tomato
16/10/19,Kg,55,65,60,Tomato
17/10/19,Kg,40,50,45,Tomato
20/10/19,Kg,30,35,32.5,Tomato
21/10/19,Kg,35,40,37.5,Tomato
22/10/19,Kg,30,35,32.5,Tomato
23/10/19,Kg,30,35,32.5,Tomato
24/10/19,Kg,35,40,37.5,Tomato
25/10/19,Kg,35,45,40,Tomato
27/10/19,Kg,45,50,47.5,Tomato
28/10/19,Kg,45,50,47.5,Tomato
29/10/19,Kg,45,55,50,Tomato
30/10/19,Kg,45,50,47.5,Tomato
31/10/19,Kg,45,50,47.5,Tomato
01/11/19,Kg,40,50,45,Tomato
04/11/19,Kg,50,55,52.5,Tomato
05/11/19,Kg,55,64,59.5,Tomato
06/11/19,Kg,60,70,65,Tomato
07/11/19,Kg,70,80,75,Tomato
10/11/19,Kg,50,60,55,Tomato
11/11/19,Kg,50,60,55,Tomato
12/11/19,Kg,70,80,75,Tomato
13/11/19,Kg,65,75,70,Tomato
14/11/19,Kg,56,65,60.5,Tomato
15/11/19,Kg,54,60,57,Tomato
16/11/19,Kg,60,70,65,Tomato
17/11/19,Kg,70,75,72.5,Tomato
18/11/19,Kg,60,70,65,Tomato
20/11/19,Kg,60,70,65,Tomato
21/11/19,Kg,55,65,60,Tomato
22/11/19,Kg,55,60,57.5,Tomato
24/11/19,Kg,50,60,55,Tomato
25/11/19,Kg,58,62,60,Tomato
26/11/19,Kg,60,70,65,Tomato
27/11/19,Kg,60,70,65,Tomato
28/11/19,Kg,55,60,57.5,Tomato
29/11/19,Kg,45,55,50,Tomato
01/12/19,Kg,45,50,47.5,Tomato
02/12/19,Kg,45,50,47.5,Tomato
03/12/19,Kg,40,50,45,Tomato
04/12/19,Kg,40,45,42.5,Tomato
05/12/19,Kg,25,30,27.5,Tomato
06/12/19,Kg,25,30,27.5,Tomato
08/12/19,Kg,25,30,27.5,Tomato
09/12/19,Kg,25,30,27.5,Tomato
10/12/19,Kg,30,35,32.5,Tomato
11/12/19,Kg,28,32,30,Tomato
12/12/19,Kg,25,30,27.5,Tomato
13/12/19,Kg,25,30,27.5,Tomato
